Date,Close
1/1/15,202.309998
1/8/15,200.860001
1/15/15,203.080002
1/22/15,200.139999
1/29/15,204.059998
2/5/15,206.929993
2/12/15,210.130005
2/19/15,211.630005
2/26/15,210.229996
3/5/15,204.5
3/12/15,210.460007
3/19/15,205.759995
3/26/15,205.699997
4/2/15,207.979996
4/9/15,210.429993
4/16/15,210.630005
4/23/15,210.570007
4/30/15,208.039993
5/7/15,210.020004
5/14/15,212.880005
5/21/15,212.699997
5/28/15,211.919998
6/4/15,210.960007
6/11/15,210.589996
6/18/15,210.509995
6/25/15,207.570007
7/2/15,204.529999
7/9/15,210.630005
7/16/15,211.289993
7/23/15,210.770004
7/30/15,210.100006
8/6/15,208.919998
8/13/15,208.279999
8/20/15,194.679993
8/27/15,195.410004
9/3/15,194.759995
9/10/15,200.139999
9/17/15,193.600006
9/24/15,191.589996
10/1/15,199.410004
10/8/15,199.289993
10/15/15,201.850006
10/22/15,208.940002
10/29/15,210.380005
11/5/15,207.740005
11/12/15,208.729996
11/19/15,209.320007
11/26/15,208.529999
12/3/15,205.339996
12/10/15,208.029999
12/17/15,206.020004
12/24/15,205.929993
12/31/15,198.820007
1/7/16,188.830002
1/14/16,185.649994
1/21/16,188.130005
1/28/16,191.300003
2/4/16,185.270004
2/11/16,192.880005
2/18/16,193.199997
2/25/16,199
3/3/16,199.380005
3/10/16,203.339996
3/17/16,203.210007
3/24/16,206.020004
3/31/16,206.419998
4/7/16,208
4/14/16,210.100006
4/21/16,209.350006
4/28/16,205.009995
5/5/16,206.5
5/12/16,204.910004
5/19/16,209.279999
5/26/16,210.270004
6/2/16,212.369995
6/9/16,207.75
6/16/16,208.100006
6/23/16,206.660004
6/30/16,209.660004
7/7/16,214.919998
7/14/16,217.089996
7/21/16,216.520004
7/28/16,216.179993
8/4/16,217.639999
8/11/16,218.369995
8/18/16,217.850006
8/25/16,217.380005
9/1/16,219.009995
9/8/16,213.149994
9/15/16,215.820007
9/22/16,216.639999
9/29/16,215.630005
10/6/16,213.710007
10/13/16,214.279999
10/20/16,213.740005
10/27/16,209.740005
11/3/16,216.380005
11/10/16,217.869995
11/17/16,220.699997
11/24/16,220.380005
12/1/16,224.600006
12/8/16,225.880005
12/15/16,225.770004
12/22/16,224.399994
12/29/16,226.580002
1/5/17,227.100006
1/12/17,226.75
1/19/17,229.570007
1/26/17,227.619995
2/2/17,229.240005
2/9/17,234.919998
2/16/17,236.279999
2/23/17,239.779999
3/2/17,236.559998
3/9/17,238.949997
3/16/17,234.279999
3/23/17,235.539993
3/30/17,234.779999
4/6/17,234.029999
4/13/17,233.440002
4/20/17,238.399994
4/27/17,238.479996
5/4/17,239.869995
5/11/17,235.820007
5/18/17,240.610001
5/25/17,241.440002
6/1/17,243.660004
6/8/17,244.240005
6/15/17,242.949997
6/22/17,243.490005
6/29/17,242.770004
7/6/17,244.009995
7/13/17,246.990005
7/20/17,247.429993
7/27/17,247.440002
8/3/17,247.25
8/10/17,246.940002
8/17/17,244.559998
8/24/17,246.009995
8/31/17,246.899994
9/7/17,250.169998
9/14/17,250.059998
9/21/17,250.050003
9/28/17,253.160004
10/5/17,255.020004
10/12/17,255.720001
10/19/17,255.289993
10/26/17,257.48999
11/2/17,259.109985
11/9/17,256.440002
11/16/17,259.76001
11/23/17,262.709991
11/30/17,263.23999
12/7/17,266.75
12/14/17,267.029999
12/21/17,267.320007
12/28/17,270.470001
1/4/18,274.119995
1/11/18,279.609985
1/18/18,283.179993
1/25/18,281.899994
2/1/18,267.670013
2/8/18,269.589996
2/15/18,270.049988
2/22/18,271.649994
3/1/18,272.779999
3/8/18,275.299988
3/15/18,270.429993
3/22/18,258.049988
